"Calculations Configuration Report    Date: 22/09/2022 13:42:33"
"Statistical Activity: Inventories Local    Mode: INT23"

Name,Description,Type,Dataset,Status,Replace Nulls With Zero,Start Date,End Date,Type Specific Details,Selection Criteria,Dimension Mappings,Date Created,Date Last Used
"4.5.2.1 DF Calc AN.121_AN.123 BV","Calculates AN.121_AN.123;BVC;R1.2 using AN.123:BVC:R0/AN.12:pattern:R0 for Industry:01;Periodicity:A",FORMULA,"4.5 Process DEFRA Delivery",Work in progress,N,1997, ,"{items to calculate {Asset = AN.121_AN.123} {Measure = BVC} {Adjustments = R1.2}}{formula = AN.123:BVC:R0 / AN.12:pattern:R0}"," {Industry = '01'} {Periodicity = 'A'}","n/a",09/10/2019 13:48:03,16/09/2022 14:15:35
"4.5.2.10 DF Set BV to R1.2","Calculates Adjustment:R1.2 using R0 for Industry:01;Asset AN.122,AN.123;Measure:BV;Periodicity:A,Q",FORMULA,"4.5 Process DEFRA Delivery",Work in progress,N, , ,"{items to calculate {Adjustments = R1.2}}{formula = R0}"," {Industry = 01} {Asset = 'AN.122','AN.123'} {Measure = BV} {Periodicity = A, Q}","n/a",18/11/2019 12:22:35,16/09/2022 14:15:44
"4.5.2.11 DF Create BV timeseries","Calc BV using round(cumsum(BVC,value(BV,1996),1996),0) for Industry:01;Asset:*;Period:A;Adj:R1.",FORMULA,"4.5 Process DEFRA Delivery",Work in progress,N,$firstopenyr, ,"{items to calculate {Measure = BV}}{formula = round(cumsum(BVC, value(BV, 1996), 1996),0)}"," {Industry = 01} {Asset = *} {Periodicity = A} {Adjustments = R1.2}","n/a",18/11/2019 12:04:38,16/09/2022 14:15:45
"4.5.2.2 DF Calc AN.121 BVC","Calc AN.121;BVC;R1.2 using AN.121_AN.123:BVC:R1.2*(1-AN.12:pattern:R0) for Industry:01;Periodicity:A",FORMULA,"4.5 Process DEFRA Delivery",Work in progress,N,1997, ,"{items to calculate {Asset = AN.121} {Measure = BVC} {Adjustments = R1.2}}{formula = AN.121_AN.123:BVC:R1.2*(1-AN.12:pattern:R0)}"," {Industry = '01'} {Periodicity = 'A'}","n/a",09/10/2019 13:57:17,16/09/2022 14:15:36
"4.5.2.3 DF Calc AN.121_AN.123 BV","Calculates AN.121_AN.123;BV;R1.2 using AN.123:BV:R0 / AN.12:pattern:R0 for Industry:01;Periodicity:A",FORMULA,"4.5 Process DEFRA Delivery",Work in progress,N,1996,1996,"{items to calculate {Asset = AN.121_AN.123} {Measure = BV} {Adjustments = R1.2}}{formula = AN.123:BV:R0 / AN.12:pattern:R0}"," {Industry = '01'} {Periodicity = 'A'}","n/a",09/10/2019 14:04:22,16/09/2022 14:15:37
"4.5.2.4 DF Calc AN.121 BV","Calc AN.121;BV;R1.2 using AN.121_AN.123:BV:R1.2*(1-AN.12:pattern:R0) for Industry:01;Periodicity:A",FORMULA,"4.5 Process DEFRA Delivery",Work in progress,N,1996,1996,"{items to calculate {Asset = AN.121} {Measure = BV} {Adjustments = R1.2}}{formula = AN.121_AN.123:BV:R1.2*(1-AN.12:pattern:R0)}"," {Industry = '01'} {Periodicity = 'A'}","n/a",09/10/2019 14:16:45,16/09/2022 14:15:38
"4.5.2.5 DF Create Q4 for 96","Calculates Q using SPREAD(A,Q,END,1996Q4) for Industry:01;Asset:*;Measure:BV; Adjustments:R1.2,R0",FORMULA,"4.5 Process DEFRA Delivery",Work in progress,N,1996,1996,"{items to calculate {Periodicity = Q}}{formula = SPREAD(A, Q, END, 1996Q4)}"," {Industry = 01} {Asset = *} {Measure = BV} {Adjustments = R1.2, R0}","n/a",18/11/2019 11:58:24,16/09/2022 14:15:39
"4.5.2.6 DF Forecast R0 endyear","Calc RF using FORECAST(R0,$endyear) for Industry:01;Asset:AN.122,AN.123;Measure:BVC;Periodicty:A",FORMULA,"4.5 Process DEFRA Delivery",Work in progress,N,1997,$endyear,"{items to calculate {Adjustments = RF}}{formula = FORECAST(R0,$endyear)}"," {Industry = '01'} {Asset = AN.122, AN.123} {Measure = BVC} {Periodicity = A}","n/a",09/10/2019 14:46:05,16/09/2022 14:15:39
"4.5.2.7 DF Forecast R1.2 endyear","Calculates RF using FORECAST(R1.2,$endyear) for Industry:01;Asset:AN.121;Measure:BVC;Periodicity:A",FORMULA,"4.5 Process DEFRA Delivery",Work in progress,N,1997,$endyear,"{items to calculate {Adjustments = RF}}{formula = FORECAST(R1.2,$endyear)}"," {Industry = '01'} {Asset = AN.121} {Measure = BVC} {Periodicity = A}","n/a",09/10/2019 14:52:36,16/09/2022 14:15:41
"4.5.2.8 DF Spline to Q","Calc Q using spline(A,Q,total,$enddate) for Industry:01;Asset:AN.121,AN.122,AN.123;Meas:BVC;Adj:RF",FORMULA,"4.5 Process DEFRA Delivery",Work in progress,N, ,$enddate,"{items to calculate {Periodicity = Q}}{formula = spline(A,Q,total,$enddate)}"," {Industry = '01'} {Asset = AN.121, AN.122, AN.123} {Measure = 'BVC'} {Adjustments = 'RF'}","n/a",09/10/2019 14:30:50,16/09/2022 14:15:42
"4.5.2.9 DF Set BVC to R1.2","Calculates Adjustment:R1.2 using RF for Industry:01;Asset:*;Measure:BVC;Periodicity:A,Q",FORMULA,"4.5 Process DEFRA Delivery",Work in progress,N, , ,"{items to calculate {Adjustments = R1.2}}{formula = RF}"," {Industry = 01} {Asset = *} {Measure = BVC} {Periodicity = A, Q}","n/a",18/11/2019 12:05:54,16/09/2022 14:15:43
"4.2.2.7 Prorate from Asset AN.12","Pro-Rate BV Down Asset AN.12 using Pattern:PROP for Industry:55, 56; Periodicity:Q",PRORATE,"4.2 Process Non-QSI Industries",Work in progress,N, , ,"{measure dimension = Measure}{hierarchy dimension = Asset}{prorate item = BV}{pattern item = PROP}{top level specification = AN.12}"," {Industry = 55, 56} {Periodicity = Q}","n/a",24/01/2011 13:32:32,16/09/2022 14:15:11
